organism	preparation	original_protein_id	hit	rossman_hit	rossman_family
C. saccharolyticum	lysate	D9R814	No	No	NA
C. saccharolyticum	lysate	D9R819	No	No	NA
C. saccharolyticum	lysate	D9R822	No	No	NA
C. saccharolyticum	lysate	D9R823	No	Yes	3.40.50.150
C. saccharolyticum	lysate	D9R824	No	No	NA
C. saccharolyticum	lysate	D9R825	No	No	NA
C. saccharolyticum	lysate	D9R826	No	No	NA
C. saccharolyticum	lysate	D9R827	Yes	Yes	3.40.50.2300
C. saccharolyticum	lysate	D9R834	No	No	NA
C. saccharolyticum	lysate	D9R841	No	Yes	3.40.50.150
C. saccharolyticum	lysate	D9R842	No	No	NA
C. saccharolyticum	lysate	D9R843	No	No	NA
C. saccharolyticum	lysate	D9R844	No	Yes	3.40.50.2300
C. saccharolyticum	lysate	D9R845	No	No	NA
C. saccharolyticum	lysate	D9R848	Yes	No	NA
C. saccharolyticum	lysate	D9R850	Yes	No	NA
C. saccharolyticum	lysate	D9R851	No	Yes	3.40.50.2300
C. saccharolyticum	lysate	D9R853	No	No	NA
C. saccharolyticum	lysate	D9R854	No	Yes	3.40.50.2300
C. saccharolyticum	lysate	D9R855	No	Yes	3.40.50.2300
C. saccharolyticum	lysate	D9R858	No	No	NA
C. saccharolyticum	lysate	D9R860	No	No	NA
C. saccharolyticum	lysate	D9R862	No	No	NA
C. saccharolyticum	lysate	D9R863	No	No	NA
C. saccharolyticum	lysate	D9R864	No	No	NA
C. saccharolyticum	lysate	D9R868	No	No	NA
C. saccharolyticum	lysate	D9R870|D9RAT4	No	Yes	3.40.50.10490
C. saccharolyticum	lysate	D9R872	No	No	NA
C. saccharolyticum	lysate	D9R873	No	No	NA
C. saccharolyticum	lysate	D9R875	No	No	NA
C. saccharolyticum	lysate	D9R876	No	No	NA
C. saccharolyticum	lysate	D9R877	No	No	NA
C. saccharolyticum	lysate	D9R882	No	No	NA
C. saccharolyticum	lysate	D9R884	No	Yes	3.40.50.2300
C. saccharolyticum	lysate	D9R886	No	No	NA
C. saccharolyticum	lysate	D9R888	No	No	NA
C. saccharolyticum	lysate	D9R889	No	No	NA
C. saccharolyticum	lysate	D9R890	No	No	NA
C. saccharolyticum	lysate	D9R891	No	No	NA
C. saccharolyticum	lysate	D9R893	No	No	NA
C. saccharolyticum	lysate	D9R894	No	Yes	3.40.50.300
C. saccharolyticum	lysate	D9R895	No	No	NA
C. saccharolyticum	lysate	D9R896	No	No	NA
C. saccharolyticum	lysate	D9R899	No	No	NA
C. saccharolyticum	lysate	D9R8A0	No	No	NA
C. saccharolyticum	lysate	D9R8A1	No	No	NA
C. saccharolyticum	lysate	D9R8A2	No	No	NA
C. saccharolyticum	lysate	D9R8A7	No	No	NA
C. saccharolyticum	lysate	D9R8B0|D9R8C5	No	No	NA
C. saccharolyticum	lysate	D9R8B2	No	No	NA
C. saccharolyticum	lysate	D9R8B3	No	No	NA
C. saccharolyticum	lysate	D9R8B5	No	No	NA
C. saccharolyticum	lysate	D9R8B9	No	Yes	3.40.50.300
C. saccharolyticum	lysate	D9R8C0	No	No	NA
C. saccharolyticum	lysate	D9R8C1	No	No	NA
C. saccharolyticum	lysate	D9R8C2	No	Yes	3.40.50.1000
C. saccharolyticum	lysate	D9R8C3	No	No	NA
C. saccharolyticum	lysate	D9R8C4	No	No	NA
C. saccharolyticum	lysate	D9R8C6	No	No	NA
C. saccharolyticum	lysate	D9R8C7	No	No	NA
C. saccharolyticum	lysate	D9R8D0	No	No	NA
C. saccharolyticum	lysate	D9R8D2	No	Yes	3.40.50.880
C. saccharolyticum	lysate	D9R8D3	No	Yes	3.40.50.1380
C. saccharolyticum	lysate	D9R8D7	No	No	NA
C. saccharolyticum	lysate	D9R8E0	No	No	NA
C. saccharolyticum	lysate	D9R8E1	No	No	NA
C. saccharolyticum	lysate	D9R8E4	No	No	NA
C. saccharolyticum	lysate	D9R8E6	No	No	NA
C. saccharolyticum	lysate	D9R8E7	No	Yes	3.40.50.620
C. saccharolyticum	lysate	D9R8E9	No	No	NA
C. saccharolyticum	lysate	D9R8F0	Yes	No	NA
C. saccharolyticum	lysate	D9R8F4	No	No	NA
C. saccharolyticum	lysate	D9R8G6	No	No	NA
C. saccharolyticum	lysate	D9R8G7	No	No	NA
C. saccharolyticum	lysate	D9R8H9	No	No	NA
C. saccharolyticum	lysate	D9R8I0	No	No	NA
C. saccharolyticum	lysate	D9R8I8	No	No	NA
C. saccharolyticum	lysate	D9R8J0	No	No	NA
C. saccharolyticum	lysate	D9R8J1	No	Yes	3.40.50.300
C. saccharolyticum	lysate	D9R8J5	No	No	NA
C. saccharolyticum	lysate	D9R8J8	No	No	NA
C. saccharolyticum	lysate	D9R8K1	No	No	NA
C. saccharolyticum	lysate	D9R8K2	No	No	NA
C. saccharolyticum	lysate	D9R8K4	No	Yes	3.40.50.300
C. saccharolyticum	lysate	D9R8K5	No	No	NA
C. saccharolyticum	lysate	D9R8K7	No	No	NA
C. saccharolyticum	lysate	D9R8L2	No	No	NA
C. saccharolyticum	lysate	D9R8L3	No	Yes	3.40.50.2300
C. saccharolyticum	lysate	D9R8L4	No	Yes	3.40.50.10170
C. saccharolyticum	lysate	D9R8L6	No	No	NA
C. saccharolyticum	lysate	D9R8L7	No	No	NA
C. saccharolyticum	lysate	D9R8L8	No	No	NA
C. saccharolyticum	lysate	D9R8M0	No	No	NA
C. saccharolyticum	lysate	D9R8M1	No	Yes	3.40.50.1000
C. saccharolyticum	lysate	D9R8M2	No	No	NA
C. saccharolyticum	lysate	D9R8M6	No	Yes	3.40.50.2000
C. saccharolyticum	lysate	D9R8M7	No	Yes	3.40.50.2300
C. saccharolyticum	lysate	D9R8M9	No	No	NA
C. saccharolyticum	lysate	D9R8N2	No	Yes	3.40.50.300
C. saccharolyticum	lysate	D9R8N3	No	No	NA
C. saccharolyticum	lysate	D9R8N4	No	Yes	3.40.50.10330
C. saccharolyticum	lysate	D9R8N5	No	No	NA
C. saccharolyticum	lysate	D9R8N6	Yes	Yes	3.40.50.920
C. saccharolyticum	lysate	D9R8N7	No	No	NA
C. saccharolyticum	lysate	D9R8N8	No	No	NA
C. saccharolyticum	lysate	D9R8P0	No	No	NA
C. saccharolyticum	lysate	D9R8P1	No	Yes	3.40.50.720
C. saccharolyticum	lysate	D9R8P2	No	Yes	3.40.50.720
C. saccharolyticum	lysate	D9R8P4	No	No	NA
C. saccharolyticum	lysate	D9R8P5	No	No	NA
C. saccharolyticum	lysate	D9R8P6	No	No	NA
C. saccharolyticum	lysate	D9R8Q2	No	No	NA
C. saccharolyticum	lysate	D9R8Q4	No	No	NA
C. saccharolyticum	lysate	D9R8Q5	No	Yes	3.40.50.720
C. saccharolyticum	lysate	D9R8Q6	No	No	NA
C. saccharolyticum	lysate	D9R8R0	No	No	NA
C. saccharolyticum	lysate	D9R8R4	Yes	Yes	3.40.50.2300
C. saccharolyticum	lysate	D9R8R8	No	Yes	3.40.50.10860
C. saccharolyticum	lysate	D9R8R9	No	No	NA
C. saccharolyticum	lysate	D9R8S1	No	No	NA
C. saccharolyticum	lysate	D9R8S3	Yes	No	NA
C. saccharolyticum	lysate	D9R8S4	No	No	NA
C. saccharolyticum	lysate	D9R8S5	Yes	No	NA
C. saccharolyticum	lysate	D9R8S6	No	No	NA
C. saccharolyticum	lysate	D9R8S9	No	No	NA
C. saccharolyticum	lysate	D9R8T0	Yes	Yes	3.40.50.2300
C. saccharolyticum	lysate	D9R8T3	No	Yes	3.40.50.300
C. saccharolyticum	lysate	D9R8T4	No	Yes	3.40.50.720
C. saccharolyticum	lysate	D9R8T5	No	No	NA
C. saccharolyticum	lysate	D9R8T6	Yes	No	NA
C. saccharolyticum	lysate	D9R8T7	No	Yes	3.40.50.620
C. saccharolyticum	lysate	D9R8U0	No	No	NA
C. saccharolyticum	lysate	D9R8U1	No	No	NA
C. saccharolyticum	lysate	D9R8U2	No	No	NA
C. saccharolyticum	lysate	D9R8U4	No	Yes	3.40.50.150
C. saccharolyticum	lysate	D9R8U6	No	No	NA
C. saccharolyticum	lysate	D9R8U7	No	No	NA
C. saccharolyticum	lysate	D9R8V1	No	No	NA
C. saccharolyticum	lysate	D9R8V2	No	No	NA
C. saccharolyticum	lysate	D9R8V3	No	No	NA
C. saccharolyticum	lysate	D9R8V4	No	No	NA
C. saccharolyticum	lysate	D9R8V5	No	No	NA
C. saccharolyticum	lysate	D9R8V6	No	No	NA
C. saccharolyticum	lysate	D9R8V7	No	No	NA
C. saccharolyticum	lysate	D9R8V8	No	No	NA
C. saccharolyticum	lysate	D9R8W0	No	No	NA
C. saccharolyticum	lysate	D9R8W2	No	Yes	3.40.50.300
C. saccharolyticum	lysate	D9R8W3	No	No	NA
C. saccharolyticum	lysate	D9R8W4	No	Yes	3.40.50.300
C. saccharolyticum	lysate	D9R8W5	No	No	NA
C. saccharolyticum	lysate	D9R8W8	No	No	NA
C. saccharolyticum	lysate	D9R8X2	No	No	NA
C. saccharolyticum	lysate	D9R8X3	No	No	NA
C. saccharolyticum	lysate	D9R8X4	No	Yes	3.40.50.1240
C. saccharolyticum	lysate	D9R8X6	No	Yes	3.40.50.880
C. saccharolyticum	lysate	D9R8X8	No	Yes	3.40.50.720
C. saccharolyticum	lysate	D9R8X9	No	Yes	3.40.50.620
C. saccharolyticum	lysate	D9R8Y2	No	No	NA
C. saccharolyticum	lysate	D9R8Y3	No	No	NA
C. saccharolyticum	lysate	D9R8Y4	No	No	NA
C. saccharolyticum	lysate	D9R8Y5	No	No	NA
C. saccharolyticum	lysate	D9R8Y8	No	No	NA
C. saccharolyticum	lysate	D9R911	Yes	No	NA
C. saccharolyticum	lysate	D9R914	No	No	NA
C. saccharolyticum	lysate	D9R919	Yes	No	NA
C. saccharolyticum	lysate	D9R942	Yes	No	NA
C. saccharolyticum	lysate	D9R946	No	No	NA
C. saccharolyticum	lysate	D9R955	No	Yes	3.40.50.2300
C. saccharolyticum	lysate	D9R958	No	No	NA
C. saccharolyticum	lysate	D9R961	No	No	NA
C. saccharolyticum	lysate	D9R962	Yes	No	NA
C. saccharolyticum	lysate	D9R963	No	No	NA
C. saccharolyticum	lysate	D9R966	No	Yes	3.40.50.720
C. saccharolyticum	lysate	D9R967	No	Yes	3.40.50.620
C. saccharolyticum	lysate	D9R968	No	No	NA
C. saccharolyticum	lysate	D9R970	No	No	NA
C. saccharolyticum	lysate	D9R971	No	No	NA
C. saccharolyticum	lysate	D9R972	No	No	NA
C. saccharolyticum	lysate	D9R973	No	No	NA
C. saccharolyticum	lysate	D9R975	No	No	NA
C. saccharolyticum	lysate	D9R976	No	Yes	3.40.50.300
C. saccharolyticum	lysate	D9R977	No	No	NA
C. saccharolyticum	lysate	D9R978	No	No	NA
C. saccharolyticum	lysate	D9R981	No	No	NA
C. saccharolyticum	lysate	D9R984	No	No	NA
C. saccharolyticum	lysate	D9R985	No	No	NA
C. saccharolyticum	lysate	D9R992	No	Yes	3.40.50.880
C. saccharolyticum	lysate	D9R993	No	Yes	3.40.50.10190
C. saccharolyticum	lysate	D9R994	No	No	NA
C. saccharolyticum	lysate	D9R995	Yes	No	NA
C. saccharolyticum	lysate	D9R9A2	No	No	NA
C. saccharolyticum	lysate	D9R9A4	No	Yes	3.40.50.2300
C. saccharolyticum	lysate	D9R9A5	No	No	NA
C. saccharolyticum	lysate	D9R9B1	No	No	NA
C. saccharolyticum	lysate	D9R9B6	No	No	NA
C. saccharolyticum	lysate	D9R9B9	No	No	NA
C. saccharolyticum	lysate	D9R9C3	Yes	No	NA
C. saccharolyticum	lysate	D9R9C5	Yes	No	NA
C. saccharolyticum	lysate	D9R9C7	No	No	NA
C. saccharolyticum	lysate	D9R9C8	No	No	NA
C. saccharolyticum	lysate	D9R9C9	No	No	NA
C. saccharolyticum	lysate	D9R9D0	No	No	NA
C. saccharolyticum	lysate	D9R9D1	Yes	No	NA
C. saccharolyticum	lysate	D9R9D2|D9RAR8|D9RAZ2	No	No	NA
C. saccharolyticum	lysate	D9R9D3	Yes	No	NA
C. saccharolyticum	lysate	D9R9D6	No	No	NA
C. saccharolyticum	lysate	D9R9D7	No	No	NA
C. saccharolyticum	lysate	D9R9D8	No	No	NA
C. saccharolyticum	lysate	D9R9D9	No	No	NA
C. saccharolyticum	lysate	D9R9E0	No	Yes	3.40.50.620
C. saccharolyticum	lysate	D9R9E2	No	No	NA
C. saccharolyticum	lysate	D9R9E3	No	Yes	3.40.50.720
C. saccharolyticum	lysate	D9R9E5	No	No	NA
C. saccharolyticum	lysate	D9R9E6	No	No	NA
C. saccharolyticum	lysate	D9R9E7	No	No	NA
C. saccharolyticum	lysate	D9R9E8	No	No	NA
C. saccharolyticum	lysate	D9R9E9	No	No	NA
C. saccharolyticum	lysate	D9R9F0	No	No	NA
C. saccharolyticum	lysate	D9R9F1	No	Yes	3.40.50.880
C. saccharolyticum	lysate	D9R9F2	No	No	NA
C. saccharolyticum	lysate	D9R9F5	No	Yes	3.40.50.150
C. saccharolyticum	lysate	D9R9F6	No	No	NA
C. saccharolyticum	lysate	D9R9F8	No	Yes	3.40.50.300
C. saccharolyticum	lysate	D9R9F9	No	No	NA
C. saccharolyticum	lysate	D9R9G0	No	No	NA
C. saccharolyticum	lysate	D9R9G1	No	No	NA
C. saccharolyticum	lysate	D9R9G5	Yes	No	NA
C. saccharolyticum	lysate	D9R9G6	No	No	NA
C. saccharolyticum	lysate	D9R9G8	No	No	NA
C. saccharolyticum	lysate	D9R9G9	No	No	NA
C. saccharolyticum	lysate	D9R9H0	No	Yes	3.40.50.1780
C. saccharolyticum	lysate	D9R9H2	No	No	NA
C. saccharolyticum	lysate	D9R9H3	Yes	No	NA
C. saccharolyticum	lysate	D9R9H4	No	No	NA
C. saccharolyticum	lysate	D9R9H5	No	No	NA
C. saccharolyticum	lysate	D9R9H6	No	No	NA
C. saccharolyticum	lysate	D9R9H7	No	No	NA
C. saccharolyticum	lysate	D9R9H8	Yes	No	NA
C. saccharolyticum	lysate	D9R9I0	No	Yes	3.40.50.1580
C. saccharolyticum	lysate	D9R9I1	No	No	NA
C. saccharolyticum	lysate	D9R9I3	No	Yes	3.40.50.300
C. saccharolyticum	lysate	D9R9I4	No	No	NA
C. saccharolyticum	lysate	D9R9I7	No	No	NA
C. saccharolyticum	lysate	D9R9J4	No	No	NA
C. saccharolyticum	lysate	D9R9J5	No	Yes	3.40.50.300
C. saccharolyticum	lysate	D9R9J6	No	Yes	3.40.50.720
C. saccharolyticum	lysate	D9R9K3	No	No	NA
C. saccharolyticum	lysate	D9R9K8	No	No	NA
C. saccharolyticum	lysate	D9R9L0	No	No	NA
C. saccharolyticum	lysate	D9R9L1	No	No	NA
C. saccharolyticum	lysate	D9R9L2	No	No	NA
C. saccharolyticum	lysate	D9R9L4	No	No	NA
C. saccharolyticum	lysate	D9R9L5	No	No	NA
C. saccharolyticum	lysate	D9R9L6	No	No	NA
C. saccharolyticum	lysate	D9R9L7	No	No	NA
C. saccharolyticum	lysate	D9R9L9	No	No	NA
C. saccharolyticum	lysate	D9R9M1	No	Yes	3.40.50.10490
C. saccharolyticum	lysate	D9R9M2	No	No	NA
C. saccharolyticum	lysate	D9R9N0	Yes	Yes	3.40.50.10490
C. saccharolyticum	lysate	D9R9N1	Yes	No	NA
C. saccharolyticum	lysate	D9R9N3	No	No	NA
C. saccharolyticum	lysate	D9R9N4	No	No	NA
C. saccharolyticum	lysate	D9R9N5	No	No	NA
C. saccharolyticum	lysate	D9R9N6	No	No	NA
C. saccharolyticum	lysate	D9R9N7	No	Yes	3.40.50.720
C. saccharolyticum	lysate	D9R9P6	No	No	NA
C. saccharolyticum	lysate	D9R9P9	No	No	NA
C. saccharolyticum	lysate	D9R9Q7	No	No	NA
C. saccharolyticum	lysate	D9R9Q9	No	No	NA
C. saccharolyticum	lysate	D9R9R0	No	Yes	3.40.50.2300
C. saccharolyticum	lysate	D9R9R1	No	No	NA
C. saccharolyticum	lysate	D9R9R2	No	No	NA
C. saccharolyticum	lysate	D9R9R3	No	No	NA
C. saccharolyticum	lysate	D9R9R9	No	No	NA
C. saccharolyticum	lysate	D9R9S0	No	No	NA
C. saccharolyticum	lysate	D9R9S1	No	No	NA
C. saccharolyticum	lysate	D9R9S2	No	No	NA
C. saccharolyticum	lysate	D9R9S3	No	No	NA
C. saccharolyticum	lysate	D9R9S4	Yes	No	NA
C. saccharolyticum	lysate	D9R9S5	No	No	NA
C. saccharolyticum	lysate	D9R9S6	No	No	NA
C. saccharolyticum	lysate	D9R9S7	No	No	NA
C. saccharolyticum	lysate	D9R9S8	No	No	NA
C. saccharolyticum	lysate	D9R9S9	No	No	NA
C. saccharolyticum	lysate	D9R9T4	No	No	NA
C. saccharolyticum	lysate	D9R9T5	No	No	NA
C. saccharolyticum	lysate	D9R9U1	No	No	NA
C. saccharolyticum	lysate	D9R9U6	No	No	NA
C. saccharolyticum	lysate	D9R9U7	No	Yes	3.40.50.720
C. saccharolyticum	lysate	D9R9U9	No	Yes	3.40.50.1000
C. saccharolyticum	lysate	D9R9V0	No	No	NA
C. saccharolyticum	lysate	D9R9V1	Yes	No	NA
C. saccharolyticum	lysate	D9R9V2	No	No	NA
C. saccharolyticum	lysate	D9R9V5	No	No	NA
C. saccharolyticum	lysate	D9R9V6	No	No	NA
C. saccharolyticum	lysate	D9R9V7	No	No	NA
C. saccharolyticum	lysate	D9R9V8	No	No	NA
C. saccharolyticum	lysate	D9R9W3	No	No	NA
C. saccharolyticum	lysate	D9R9W5	No	No	NA
C. saccharolyticum	lysate	D9R9W7	No	Yes	3.40.50.300
C. saccharolyticum	lysate	D9R9W9	No	No	NA
C. saccharolyticum	lysate	D9R9X0	No	Yes	3.40.50.2300
C. saccharolyticum	lysate	D9R9X2	No	No	NA
C. saccharolyticum	lysate	D9R9X3	No	No	NA
C. saccharolyticum	lysate	D9R9X4	No	No	NA
C. saccharolyticum	lysate	D9R9X6	No	No	NA
C. saccharolyticum	lysate	D9R9X7	No	No	NA
C. saccharolyticum	lysate	D9R9X8	No	No	NA
C. saccharolyticum	lysate	D9R9X9	No	Yes	3.40.50.150
C. saccharolyticum	lysate	D9R9Y0	Yes	Yes	3.40.50.2300
C. saccharolyticum	lysate	D9R9Y1	No	No	NA
C. saccharolyticum	lysate	D9R9Y2	No	No	NA
C. saccharolyticum	lysate	D9R9Z3	No	Yes	3.40.50.300
C. saccharolyticum	lysate	D9R9Z5	No	No	NA
C. saccharolyticum	lysate	D9R9Z6	No	Yes	3.40.50.2300
C. saccharolyticum	lysate	D9R9Z8	No	No	NA
C. saccharolyticum	lysate	D9RA01	No	No	NA
C. saccharolyticum	lysate	D9RA08	No	No	NA
C. saccharolyticum	lysate	D9RA10	No	Yes	3.40.50.2300
C. saccharolyticum	lysate	D9RA11	Yes	No	NA
C. saccharolyticum	lysate	D9RA12	No	No	NA
C. saccharolyticum	lysate	D9RA13	No	No	NA
C. saccharolyticum	lysate	D9RA14	No	No	NA
C. saccharolyticum	lysate	D9RA17	Yes	No	NA
C. saccharolyticum	lysate	D9RA18	No	No	NA
C. saccharolyticum	lysate	D9RA22	No	No	NA
C. saccharolyticum	lysate	D9RA23	No	No	NA
C. saccharolyticum	lysate	D9RA27	No	Yes	3.40.50.150
C. saccharolyticum	lysate	D9RA28	No	Yes	3.40.50.720
C. saccharolyticum	lysate	D9RA29	Yes	Yes	3.40.50.10490
C. saccharolyticum	lysate	D9RA31	No	No	NA
C. saccharolyticum	lysate	D9RA32	No	No	NA
C. saccharolyticum	lysate	D9RA33	No	Yes	3.40.50.1000
C. saccharolyticum	lysate	D9RA36	No	No	NA
C. saccharolyticum	lysate	D9RA38	No	No	NA
C. saccharolyticum	lysate	D9RA39	No	Yes	3.40.50.2300
C. saccharolyticum	lysate	D9RA40	No	No	NA
C. saccharolyticum	lysate	D9RA41	No	No	NA
C. saccharolyticum	lysate	D9RA44	No	Yes	3.40.50.300
C. saccharolyticum	lysate	D9RA55	No	Yes	3.40.50.2300
C. saccharolyticum	lysate	D9RA70	No	No	NA
C. saccharolyticum	lysate	D9RA74	No	No	NA
C. saccharolyticum	lysate	D9RA76	Yes	No	NA
C. saccharolyticum	lysate	D9RA77	No	No	NA
C. saccharolyticum	lysate	D9RA87	No	No	NA
C. saccharolyticum	lysate	D9RA88	No	No	NA
C. saccharolyticum	lysate	D9RA89	No	Yes	3.40.50.300
C. saccharolyticum	lysate	D9RA90	No	No	NA
C. saccharolyticum	lysate	D9RA91	No	Yes	3.40.50.300
C. saccharolyticum	lysate	D9RA92	No	No	NA
C. saccharolyticum	lysate	D9RA93	No	No	NA
C. saccharolyticum	lysate	D9RA96	No	No	NA
C. saccharolyticum	lysate	D9RA97	Yes	Yes	3.40.50.2020
C. saccharolyticum	lysate	D9RA98	No	No	NA
C. saccharolyticum	lysate	D9RA99	No	No	NA
C. saccharolyticum	lysate	D9RAA0	No	No	NA
C. saccharolyticum	lysate	D9RAA2	No	No	NA
C. saccharolyticum	lysate	D9RAA3	No	Yes	3.40.50.300
C. saccharolyticum	lysate	D9RAA5	No	Yes	3.40.50.10260
C. saccharolyticum	lysate	D9RAA6	Yes	No	NA
C. saccharolyticum	lysate	D9RAA7	No	No	NA
C. saccharolyticum	lysate	D9RAA9	No	No	NA
C. saccharolyticum	lysate	D9RAB0	No	No	NA
C. saccharolyticum	lysate	D9RAB3	No	No	NA
C. saccharolyticum	lysate	D9RAB4	No	No	NA
C. saccharolyticum	lysate	D9RAB5	Yes	No	NA
C. saccharolyticum	lysate	D9RAB7	No	No	NA
C. saccharolyticum	lysate	D9RAB8	No	Yes	3.40.50.80
C. saccharolyticum	lysate	D9RAB9	No	No	NA
C. saccharolyticum	lysate	D9RAC0	No	No	NA
C. saccharolyticum	lysate	D9RAC4	No	No	NA
C. saccharolyticum	lysate	D9RAC5	No	No	NA
C. saccharolyticum	lysate	D9RAC6	Yes	Yes	3.40.50.7700
C. saccharolyticum	lysate	D9RAC7	No	No	NA
C. saccharolyticum	lysate	D9RAC8	Yes	Yes	3.40.50.170
C. saccharolyticum	lysate	D9RAC9	No	Yes	3.40.50.20
C. saccharolyticum	lysate	D9RAD1	No	No	NA
C. saccharolyticum	lysate	D9RAD3	No	No	NA
C. saccharolyticum	lysate	D9RAD7	No	No	NA
C. saccharolyticum	lysate	D9RAD8	No	No	NA
C. saccharolyticum	lysate	D9RAD9	No	No	NA
C. saccharolyticum	lysate	D9RAE1	No	Yes	3.40.50.720
C. saccharolyticum	lysate	D9RAE2	No	No	NA
C. saccharolyticum	lysate	D9RAE3	No	No	NA
C. saccharolyticum	lysate	D9RAE6	Yes	No	NA
C. saccharolyticum	lysate	D9RAE7	No	No	NA
C. saccharolyticum	lysate	D9RAE9	No	Yes	3.40.50.2300
C. saccharolyticum	lysate	D9RAF3	No	No	NA
C. saccharolyticum	lysate	D9RAF4	No	No	NA
C. saccharolyticum	lysate	D9RAF5	No	Yes	3.40.50.720
C. saccharolyticum	lysate	D9RAG0	No	No	NA
C. saccharolyticum	lysate	D9RAG1	No	Yes	3.40.50.300
C. saccharolyticum	lysate	D9RAG3	No	No	NA
C. saccharolyticum	lysate	D9RAG4	No	No	NA
C. saccharolyticum	lysate	D9RAG5	No	No	NA
C. saccharolyticum	lysate	D9RAG6	No	No	NA
C. saccharolyticum	lysate	D9RAG8	No	Yes	3.40.50.300
C. saccharolyticum	lysate	D9RAG9	No	No	NA
C. saccharolyticum	lysate	D9RAH1	No	No	NA
C. saccharolyticum	lysate	D9RAH2	No	No	NA
C. saccharolyticum	lysate	D9RAH3	No	No	NA
C. saccharolyticum	lysate	D9RAH4	No	No	NA
C. saccharolyticum	lysate	D9RAH5	No	No	NA
C. saccharolyticum	lysate	D9RAH6	No	Yes	3.40.50.300
C. saccharolyticum	lysate	D9RAH8	No	No	NA
C. saccharolyticum	lysate	D9RAH9	No	Yes	3.40.50.850
C. saccharolyticum	lysate	D9RAI0	No	No	NA
C. saccharolyticum	lysate	D9RAI1	No	Yes	3.40.50.720
C. saccharolyticum	lysate	D9RAI2	No	No	NA
C. saccharolyticum	lysate	D9RAI5	No	No	NA
C. saccharolyticum	lysate	D9RAI8	No	No	NA
C. saccharolyticum	lysate	D9RAJ0	No	No	NA
C. saccharolyticum	lysate	D9RAJ1	No	Yes	3.40.50.300
C. saccharolyticum	lysate	D9RAJ2	No	No	NA
C. saccharolyticum	lysate	D9RAJ4	No	Yes	3.40.50.2300
C. saccharolyticum	lysate	D9RAJ5	No	No	NA
C. saccharolyticum	lysate	D9RAJ6	No	No	NA
C. saccharolyticum	lysate	D9RAJ9	No	Yes	3.40.50.1580
C. saccharolyticum	lysate	D9RAK0	No	Yes	3.40.50.1580
C. saccharolyticum	lysate	D9RAK1	No	No	NA
C. saccharolyticum	lysate	D9RAK3	No	Yes	3.40.50.620
C. saccharolyticum	lysate	D9RAK4	No	No	NA
C. saccharolyticum	lysate	D9RAK5	No	No	NA
C. saccharolyticum	lysate	D9RAL1	No	No	NA
C. saccharolyticum	lysate	D9RAM4	No	No	NA
C. saccharolyticum	lysate	D9RAN3	No	No	NA
C. saccharolyticum	lysate	D9RAP1	No	No	NA
C. saccharolyticum	lysate	D9RAP3	No	No	NA
C. saccharolyticum	lysate	D9RAP5	No	Yes	3.40.50.2300
C. saccharolyticum	lysate	D9RAQ8	No	No	NA
C. saccharolyticum	lysate	D9RAR2	Yes	Yes	3.40.50.1360
C. saccharolyticum	lysate	D9RAR3	Yes	Yes	3.40.50.1970
C. saccharolyticum	lysate	D9RAR4	Yes	No	NA
C. saccharolyticum	lysate	D9RAR6	No	No	NA
C. saccharolyticum	lysate	D9RAR7	No	No	NA
C. saccharolyticum	lysate	D9RAR9	No	No	NA
C. saccharolyticum	lysate	D9RAS1	No	No	NA
C. saccharolyticum	lysate	D9RAS2	Yes	No	NA
C. saccharolyticum	lysate	D9RAS3	No	No	NA
C. saccharolyticum	lysate	D9RAS4	No	No	NA
C. saccharolyticum	lysate	D9RAS5	No	No	NA
C. saccharolyticum	lysate	D9RAS6	No	No	NA
C. saccharolyticum	lysate	D9RAS8	No	Yes	3.40.50.720
C. saccharolyticum	lysate	D9RAT0	No	No	NA
C. saccharolyticum	lysate	D9RAT3	No	No	NA
C. saccharolyticum	lysate	D9RAT5	No	No	NA
C. saccharolyticum	lysate	D9RAT7	No	Yes	3.40.50.2020
C. saccharolyticum	lysate	D9RAU0	No	No	NA
C. saccharolyticum	lysate	D9RAU1	No	Yes	3.40.50.720
C. saccharolyticum	lysate	D9RAU2	No	Yes	3.40.50.1360
C. saccharolyticum	lysate	D9RAU3	No	No	NA
C. saccharolyticum	lysate	D9RAU4	No	No	NA
C. saccharolyticum	lysate	D9RAU5	No	Yes	3.40.50.10840
C. saccharolyticum	lysate	D9RAU8	No	No	NA
C. saccharolyticum	lysate	D9RAU9	No	No	NA
C. saccharolyticum	lysate	D9RAV1	No	Yes	3.40.50.1100
C. saccharolyticum	lysate	D9RAV2	No	No	NA
C. saccharolyticum	lysate	D9RAV3	No	No	NA
C. saccharolyticum	lysate	D9RAV9	Yes	Yes	3.40.50.2300
C. saccharolyticum	lysate	D9RAW5	No	No	NA
C. saccharolyticum	lysate	D9RAW7	No	No	NA
C. saccharolyticum	lysate	D9RAW8	No	No	NA
C. saccharolyticum	lysate	D9RAW9	No	No	NA
C. saccharolyticum	lysate	D9RAX2	No	No	NA
C. saccharolyticum	lysate	D9RAX3	No	Yes	3.40.50.10490
C. saccharolyticum	lysate	D9RAX4	No	No	NA
C. saccharolyticum	lysate	D9RAX6	No	No	NA
C. saccharolyticum	lysate	D9RAX7	No	No	NA
C. saccharolyticum	lysate	D9RAX8	No	Yes	3.40.50.720
C. saccharolyticum	lysate	D9RAX9	No	No	NA
