KEGG id,Name,Sum formula,Monoisotopic mass,CAS number,PubChem id,ChEBI id,KNApSAcK id
cpd:C07428,Phenacemide,C9H10N2O2,178.0742,63-98-9,9632,8049,n.a.
cpd:C07429,Phenazopyridine,C11H11N5,213.1014,94-78-0,9633,71416,n.a.
cpd:C07430,Phenelzine,C8H12N2,136.1,51-71-8,9634,8060,n.a.
cpd:C07431,Phenelzine sulfate,C8H12N2.,234.0674,156-51-4,9635,8061,n.a.
cpd:C07432,Phenmetrazine,C11H15NO,177.1154,134-49-6,9636,8067,n.a.
cpd:C07434,Phenobarbital,C12H12N2O3,232.0848,50-06-6,9638,8069,n.a.
cpd:C07435,Phenoxybenzamine,C18H22ClNO,303.139,59-96-1,9639,8077,n.a.
cpd:C07436,Phenoxybenzamine hydrochloride,C18H22ClNO.,339.1157,63-92-3,9640,8078,n.a.
cpd:C07437,Phensuximide,C11H11NO2,189.079,86-34-0,9641,8079,n.a.
cpd:C07438,Phentermine,C10H15N,149.1204,122-09-8,9642,8080,n.a.
cpd:C07440,Phenylbutazone,C19H20N2O2,308.1525,50-33-9,9644,48574,n.a.
cpd:C07441,Phenylephrine,C9H13NO2,167.0946,59-42-7,9645,8093,n.a.
cpd:C07443,Phenytoin,C15H12N2O2,252.0899,57-41-0,9647,8107,n.a.
cpd:C07445,Pindolol,C14H20N2O2,248.1525,13523-86-9,9648,8214,n.a.
cpd:C07446,Isonicotinic acid,C6H5NO2,123.032,55-22-1,9649,6032,n.a.
cpd:C07447,Acetylhydrazine,C2H6N2O,74.048,1068-57-1,9650,2422,n.a.
cpd:C07448,Burimamide,C9H16N4S,212.1096,34970-69-9,9651,3221,n.a.
cpd:C07449,Metiamide,C9H16N4S2,244.0816,34839-70-8,9652,6896,n.a.
cpd:C07450,Dexmedetomidine,C13H16N2,200.1313,113775-47-6,9653,4466,n.a.
cpd:C07451,Moxonidine,C9H12ClN5O,241.073,75438-57-2,9654,7009,n.a.
cpd:C07452,Tizanidine,C9H8ClN5S,253.0189,51322-75-9,9655,63629,n.a.
cpd:C07453,Epinine,C9H13NO2,167.0946,501-15-5,9656,10554,C00042777
cpd:C07454,N-Guanylhistamine,C6H11N5,153.1014,18431-51-1,9657,28021,n.a.
cpd:C07455,Nitroglycerin,C3H5N3O9,227.0026,55-63-0,9658,28787,n.a.
cpd:C07456,Isosorbide dinitrate,C6H8N2O8,236.0281,87-33-2,9659,6061,n.a.
cpd:C07457,Amyl nitrite,C5H11NO2,117.079,110-46-3,9660,2691,n.a.
cpd:C07458,Sulfanilamide,C6H8N2O2S,172.0306,63-74-1,9661,45373,n.a.
cpd:C07459,Dichlorphenamide,C6H6Cl2N2O4S2,303.9146,120-97-8,9662,101085,n.a.
cpd:C07460,Chloraminophenamide,C6H8ClN3O4S2,284.9645,121-30-2,9663,3602,n.a.
cpd:C07461,Chlorothiazide,C7H6ClN3O4S2,294.9488,58-94-6,9664,3640,n.a.
cpd:C07463,Terfenadine,C32H41NO2,471.3137,50679-08-8,9666,9453,n.a.
cpd:C07464,Ketanserin,C22H22FN3O3,395.1645,74050-98-9,9667,6123,n.a.
cpd:C07465,Remikiren,C33H50N4O6S,630.3451,126222-34-2,9668,8803,n.a.
cpd:C07466,Enalkiren,C35H56N6O6,656.4261,113082-98-7,9669,4787,n.a.
cpd:C07467,Eprosartan,C23H24N2O4S,424.1457,133040-01-4,9670,4814,n.a.
cpd:C07468,Candesartan,C24H20N6O3,440.1597,139481-59-7,9671,3347,n.a.
cpd:C07469,Irbesartan,C25H28N6O,428.2325,138402-11-6,9672,5959,n.a.
cpd:C07471,Methacholine,C8H18NO2,160.1338,55-92-5,9674,6804,n.a.
cpd:C07473,Muscarine,C9H20NO2,174.1494,300-54-9,9676,7034,C00001422
cpd:C07474,Pilocarpine,C11H16N2O2,208.1212,92-13-7,9677,8207,C00002355
cpd:C07475,Lobeline,C22H27NO2,337.2042,90-69-7,9678,48723,C00002053
cpd:C07478,"2-Hydroxy-5-methyl-cis,cis-muconate",C7H8O5,172.0372,n.a,9681,28249,n.a.
cpd:C07479,2-Oxo-5-methyl-cis-muconate,C7H8O5,172.0372,n.a,9682,1243,n.a.
cpd:C07480,Theobromine,C7H8N4O2,180.0647,83-67-0,9683,28946,C00001509
cpd:C07481,Caffeine,C8H10N4O2,194.0804,58-08-2,9684,27732,C00001492
cpd:C07482,Montelukast,C35H36ClNO3S,585.2104,158966-92-8,9685,50730,n.a.
cpd:C07484,Zaleplon,C17H15N5O,305.1277,151319-34-5,9687,10102,n.a.
cpd:C07485,Oxotremorine,C12H18N2O,206.1419,70-22-4,9688,7851,n.a.
cpd:C07486,Nordazepam,C15H11ClN2O,270.056,1088-11-5,9689,111762,n.a.
cpd:C07487,Nitrazepam,C15H11N3O3,281.08,146-22-5,9690,7581,n.a.
cpd:C07488,DMPP,C12H19N2.,318.0593,54-77-3,9691,4290,n.a.
cpd:C07489,Glutethimide,C13H15NO2,217.1103,77-21-4,9692,5439,n.a.
cpd:C07490,Trichloroethanol,C2H3Cl3O,147.9249,115-20-8,9693,28094,n.a.
cpd:C07491,Carbaryl,C12H11NO2,201.079,63-25-2,9694,3390,n.a.
cpd:C07492,Oxcarbazepine,C15H12N2O2,252.0899,28721-07-5,9695,7824,n.a.
cpd:C07493,10-Hydroxycarbazepine,C15H14N2O2,254.1055,29331-92-8,9696,701,n.a.
cpd:C07494,Soman,C7H16FO2P,182.0872,96-64-0,9697,9195,n.a.
cpd:C07495,Dihydroxycarbazepine,C15H14N2O3,270.1004,35079-97-1,9698,4592,n.a.
cpd:C07496,"Carbamazepine-10,11-epoxide",C15H12N2O2,252.0899,36507-30-9,9699,3388,n.a.
cpd:C07497,Malathion,C10H19O6PS2,330.0361,121-75-5,9700,6651,n.a.
cpd:C07498,Malaoxon,C10H19O7PS,314.0589,1634-78-2,9701,6649,n.a.
cpd:C07499,Phenylethylmalonamide,C11H14N2O2,206.1055,7206-76-0,9702,8097,n.a.
cpd:C07500,Vigabatrin,C6H11NO2,129.079,60643-86-9,9703,63638,n.a.
cpd:C07501,Felbamate,C11H14N2O4,238.0954,25451-15-4,9704,4995,n.a.
cpd:C07502,Topiramate,C12H21NO8S,339.0988,97240-79-4,9705,63631,n.a.
cpd:C07503,Tiagabine,C20H25NO2S2,375.1327,115103-54-3,9706,9586,n.a.
cpd:C07504,Zonisamide,C8H8N2O3S,212.0256,68291-97-4,9707,10127,n.a.
cpd:C07505,Ethosuximide,C7H11NO2,141.079,77-67-8,9708,4887,n.a.
cpd:C07506,Propantheline,C23H30NO3,368.2226,298-50-0,9709,8481,n.a.
cpd:C07508,Pirenzepine,C19H21N5O2,351.1695,28797-61-7,9711,8247,n.a.
cpd:C07509,Diacetylmonoxime,C4H7NO2,101.0477,57-71-6,9712,4480,n.a.
cpd:C07510,Hexamethonium,C12H30N2,202.2409,60-26-4,9713,5700,n.a.
cpd:C07511,Mecamylamine,C11H21N,167.1674,60-40-2,9714,6706,n.a.
cpd:C07512,Tetraethylammonium,C8H20N,130.1596,66-40-0,9715,44296,n.a.
cpd:C07513,Methoxamine,C11H17NO3,211.1208,390-28-3,9716,6839,n.a.
cpd:C07514,Amphetamine,C9H13N,135.1048,300-62-9,9717,2679,C00042226
cpd:C07515,Halothane,C2HBrClF3,195.8902,151-67-7,9718,5615,n.a.
cpd:C07516,Enflurane,C3H2ClF5O,183.9714,13838-16-9,9719,4792,n.a.
cpd:C07517,Methoxyflurane,C3H4Cl2F2O,163.9607,76-38-0,9720,6843,n.a.
cpd:C07518,Isoflurane,C3H2ClF5O,183.9714,26675-46-7,9721,6015,n.a.
cpd:C07519,Desflurane,C3H2F6O,168.001,57041-67-5,9722,4445,n.a.
cpd:C07520,Sevoflurane,C4H3F7O,200.0072,28523-86-6,9723,9130,n.a.
cpd:C07521,Thiopental,C11H18N2O2S,242.1089,76-75-5,9724,102166,n.a.
cpd:C07522,Etomidate,C14H16N2O2,244.1212,33125-97-2,9725,4910,n.a.
cpd:C07523,Propofol,C12H18O,178.1358,2078-54-8,9726,44915,n.a.
cpd:C07524,Midazolam,C18H13ClFN3,325.0782,59467-70-8,9727,6931,n.a.
cpd:C07525,Ketamine,C13H16ClNO,237.092,6740-88-1,9728,6121,n.a.
cpd:C07526,Tetracaine,C15H24N2O2,264.1838,94-24-6,9729,9468,n.a.
cpd:C07527,Benzocaine,C9H11NO2,165.079,94-09-7,9730,116735,n.a.
cpd:C07528,Mepivacaine,C15H22N2O,246.1732,96-88-8,9731,6759,n.a.
cpd:C07529,Bupivacaine,C18H28N2O,288.2202,2180-92-9,9732,3215,n.a.
cpd:C07530,Etidocaine,C17H28N2O,276.2202,36637-18-0,9733,4904,n.a.
cpd:C07531,Prilocaine,C13H20N2O,220.1576,721-50-6,9734,8404,n.a.
cpd:C07532,Ropivacaine,C17H26N2O,274.2045,84057-95-4,9735,8890,n.a.
cpd:C07533,Prenalterol,C12H19NO3,225.1365,57526-81-5,9736,8391,n.a.
cpd:C07534,Ethynyl estradiol,C20H24O2,296.1776,57-63-6,9737,4903,n.a.
cpd:C07535,Benzo[a]pyrene,C20H12,252.0939,50-32-8,9738,29865,n.a.
cpd:C07536,Amobarbital,C11H18N2O3,226.1317,57-43-2,9739,2673,n.a.
cpd:C07537,Ethylmorphine,C19H23NO3,313.1678,76-58-4,9740,4902,n.a.
cpd:C07538,Benzphetamine,C17H21N,239.1674,156-08-1,9741,3044,n.a.
cpd:C07539,Aminopyrine,C13H17N3O,231.1372,58-15-1,9742,160246,n.a.
cpd:C07540,6-Methylergoline,C15H18N2,226.147,109922-46-5,9743,2215,n.a.
cpd:C07541,Lysergic acid,C16H16N2O2,268.1212,82-58-6,9744,6604,C00011201
cpd:C07542,Lysergic acid diethylamide,C20H25N3O,323.1998,50-37-3,9745,6605,n.a.
cpd:C07543,Ergonovine,C19H23N3O2,325.179,60-79-7,9746,4822,C00001722
cpd:C07544,Ergotamine,C33H35N5O5,581.2638,113-15-5,9747,64318,C00001724
cpd:C07545,alpha-Ergocryptine,C32H41N5O5,575.3108,511-09-1,9748,10276,C00001721
cpd:C07546,Succinylcholine,C14H30N2O4,290.2206,306-40-1,9749,45652,n.a.
cpd:C07547,Tubocurarine,C37H41N2O6,609.2965,57-95-4,9750,9774,C00001927
cpd:C07548,Atracurium,C53H72N2O12,928.5085,64228-79-1,9751,2914,n.a.
cpd:C07549,Doxacurium,C56H78N2O16,1034.5351,n.a,9752,4706,n.a.
cpd:C07550,Mivacurium,C58H80N2O14,1028.561,106791-40-6,9753,6958,n.a.
cpd:C07551,Pancuronium,C35H60N2O4,572.4553,n.a,9754,7907,n.a.
cpd:C07552,Aldrin,C12H8Cl6,361.8757,309-00-2,9755,2564,n.a.
cpd:C07553,Vecuronium,C34H57N2O4,557.4318,n.a,9756,9939,n.a.
cpd:C07554,Pipecuronium,C35H62N4O4,602.4771,68399-58-6,9757,8230,n.a.
cpd:C07555,4-Nitroanisole,C7H7NO3,153.0426,100-17-4,9758,1911,n.a.
cpd:C07556,Rocuronium,C32H53N2O4,529.4005,143558-00-3,9759,8884,n.a.
cpd:C07557,"2,3,7,8-Tetrachlorodibenzodioxin",C12H4Cl4O2,319.8965,1746-01-6,9760,28119,n.a.
cpd:C07558,Methitural,C12H20N2O2S2,288.0966,467-43-6,9761,6831,n.a.
cpd:C07559,Chlorphentermine,C10H14ClN,183.0815,461-78-9,9762,3646,n.a.
cpd:C07560,Methaqualone,C16H14N2O,250.1106,72-44-6,9763,6821,n.a.
cpd:C07561,Carbon tetrachloride,CCl4,151.8754,56-23-5,9764,27385,n.a.
cpd:C07564,Ropinirole,C16H24N2O,260.1889,91374-21-9,9767,8888,n.a.
cpd:C07565,Acetanilide,C8H9NO,135.0684,103-84-4,9768,28884,n.a.
cpd:C07566,Pimozide,C28H29F2N3O,461.2279,2062-78-4,9769,8212,n.a.
cpd:C07567,Sertindole,C24H26ClFN4O,440.1779,106516-24-9,9770,9122,n.a.
cpd:C07568,Ziprasidone,C21H21ClN4OS,412.1125,146939-27-7,9771,10119,n.a.
cpd:C07569,Propylthiouracil,C7H10N2OS,170.0514,51-52-5,9772,8502,n.a.
cpd:C07570,Mirtazapine,C17H19N3,265.1579,85650-52-8,9773,6950,n.a.
cpd:C07571,Fluvoxamine,C15H21F3N2O2,318.1555,54739-18-3,9774,5138,n.a.
cpd:C07572,Citalopram,C20H21FN2O,324.1638,59729-33-8,9775,3723,n.a.
cpd:C07573,Prontosil,C12H13N5O2S,291.079,103-12-8,9776,8464,n.a.
cpd:C07574,Tartrazine,C16H9N4O9S2.,533.9504,1934-21-0,9777,9405,n.a.
cpd:C07575,Phencyclidine,C17H25N,243.1987,77-10-1,9778,8058,n.a.
cpd:C07576,Psilocybin,C12H17N2O4P,284.0926,520-52-5,9779,8614,n.a.
cpd:C07577,"3,4-Methylenedioxymethamphetamine",C11H15NO2,193.1103,42542-10-9,9780,1391,n.a.
cpd:C07578,Cannabidiol,C21H30O2,314.2246,13956-29-1,9781,69478,C00002641
cpd:C07580,Cannabinol,C21H26O2,310.1933,521-35-7,9782,3360,n.a.
cpd:C07581,Pteridine,C6H4N4,132.0436,91-18-9,9783,27601,n.a.
cpd:C07582,Pteroic acid,C14H12N6O3,312.0971,119-24-4,9784,27623,n.a.
cpd:C07584,Phenindione,C15H10O2,222.0681,83-12-5,9786,8066,n.a.
cpd:C07585,N-Acetylisoniazid,C8H9N3O2,179.0695,1078-38-2,9787,7207,n.a.
cpd:C07586,Fenofibrate,C20H21ClO4,360.1128,49562-28-9,9788,5001,n.a.
cpd:C07587,Sodium salicylate,C7H5O3.,160.0136,54-21-7,9789,9180,n.a.
cpd:C07588,Salicyluric acid,C9H9NO4,195.0532,487-54-7,9790,9008,n.a.
cpd:C07589,Celecoxib,C17H14F3N3O2S,381.0759,169590-42-5,9791,41423,n.a.
cpd:C07590,Rofecoxib,C17H14O4S,314.0613,162011-90-7,9792,8887,n.a.
cpd:C07591,Phenacetin,C10H13NO2,179.0946,62-44-2,9793,8050,n.a.
cpd:C07592,Colchicine,C22H25NO6,399.1682,64-86-8,9794,27882,C00002327
cpd:C07593,Rotenone,C23H22O6,394.1416,83-79-4,9795,28201,C00002568
cpd:C07594,Pyrethrin I,C21H28O3,328.2038,121-21-1,9796,27815,C00003056
cpd:C07596,HLo7,C15H17N5O4.,584.937,120103-35-7,9798,5592,n.a.
cpd:C07597,Ferroxamine,C25H45FeN6O8,613.2648,14836-73-8,9799,5044,n.a.
cpd:C07598,Succimer,C4H6O4S2,181.9708,304-55-2,9800,63623,n.a.
cpd:C07599,Alloxanthine,C5H4N4O2,152.0334,2465-59-0,9801,28315,n.a.
cpd:C07600,Allicin,C6H10OS2,162.0173,539-86-6,9802,28411,C00001242
cpd:C07601,Ginkgolide A,C20H24O9,408.142,15291-75-5,9803,5355,C00003429
cpd:C07602,Ginkgolide B,C20H24O10,424.1369,15291-77-7,9804,5356,C00035830
cpd:C07603,Ginkgolide C,C20H24O11,440.1319,15291-76-6,9805,5357,C00035831
cpd:C07604,Ginkgolide J,C20H24O10,424.1369,107438-79-9,9806,5358,C00035832
cpd:C07605,Bilobalide,C15H18O8,326.1002,33570-04-6,9807,3103,C00011512
cpd:C07606,Hypericin,C30H16O8,504.0845,548-04-9,9808,5835,C00002829
cpd:C07607,Gonadotropin-releasing hormone I,C55H75N17O13,1181.573,33515-09-2,9809,5520,n.a.
cpd:C07608,Hyperforin,C35H52O4,536.3866,11079-53-1,9810,5834,C00034542
cpd:C07609,Parthenolide,C15H20O3,248.1412,20554-84-1,9811,7939,C00003345
cpd:C07610,Silymarin,C25H22O10,482.1213,22888-70-6,9812,9144,C00001003
cpd:C07612,Leuprolide,C59H84N16O12,1208.6455,53714-56-0,9814,6427,n.a.
cpd:C07613,Nafarelin,C66H83N17O13,1321.6356,76932-56-4,9815,7445,n.a.
cpd:C07615,Carbimazole,C7H10N2O2S,186.0463,22232-54-8,9817,617099,n.a.
cpd:C07616,Amphenone B,C16H18N2O,254.1419,2686-47-7,9818,2678,n.a.
cpd:C07617,Aminoglutethimide,C13H16N2O2,232.1212,125-84-8,9819,2654,n.a.
cpd:C07618,Mestranol,C21H26O2,310.1933,72-33-3,9820,6784,C00032009
cpd:C07619,Quinestrol,C25H32O2,364.2402,152-43-2,9821,8716,n.a.
cpd:C07620,Diethylstilbestrol,C18H20O2,268.1463,56-53-1,9822,41922,n.a.
cpd:C07621,Methallenestril,C18H22O3,286.1569,517-18-0,9823,6808,n.a.
cpd:C07622,Voriconazole,C16H14F3N5O,349.115,137234-62-9,9824,10023,n.a.
cpd:C07624,Abacavir,C14H18N6O,286.1542,136470-78-5,9826,421707,n.a.
cpd:C07625,Chloroquine,C18H26ClN3,319.1815,54-05-7,9827,3638,n.a.
cpd:C07626,Amodiaquine,C20H22ClN3O,355.1451,86-42-0,9828,2674,n.a.
cpd:C07627,Primaquine,C15H21N3O,259.1685,90-34-6,9829,8405,n.a.
cpd:C07628,Dimethisterone,C23H32O2,340.2402,79-64-1,9830,4606,n.a.
cpd:C07629,Desogestrel,C22H30O,310.2297,54024-22-5,9831,4453,n.a.
cpd:C07630,Sulfadoxine,C12H14N4O4S,310.0736,2447-57-6,9832,9329,n.a.
cpd:C07631,Proguanil,C11H16ClN5,253.1094,500-92-5,9833,8455,n.a.
cpd:C07632,Androstanediol,C19H32O2,292.2402,25126-76-5,9834,27727,n.a.
cpd:C07633,Mefloquine,C17H16F6N2O,378.1167,53230-10-7,9835,63609,n.a.
cpd:C07634,Halofantrine,C26H30Cl2F3NO,499.1657,69756-53-2,9836,5612,n.a.
cpd:C07635,Epiandrosterone,C19H30O2,290.2246,481-29-8,9837,541975,n.a.
cpd:C07636,Iodoquinol,C9H5I2NO,396.8461,83-73-8,9838,5950,n.a.
cpd:C07637,Diloxanide furoate,C14H11Cl2NO4,327.0065,3736-81-0,9839,4601,n.a.
cpd:C07638,Sodium stibogluconate,C12H20O17Sb2.,908.9421,n.a,9840,28148,n.a.
cpd:C07639,"3,3',5'-Triiodo-L-thyronine",C15H12I3NO4,650.79,5817-39-0,9841,11684,n.a.
cpd:C07640,Semustine,C10H18ClN3O2,247.1088,13909-09-6,9842,6863,n.a.
cpd:C07641,Thiotepa,C6H12N3PS,189.049,52-24-4,9843,9570,n.a.
cpd:C07642,Triethylenemelamine,C9H12N6,204.1123,51-18-3,9844,27919,n.a.
cpd:C07643,4-Hydroxycyclophosphamide,C7H15Cl2N2O3P,276.0197,40277-05-2,9845,1864,n.a.
cpd:C07644,4-Ketocyclophosphamide,C7H13Cl2N2O3P,274.0041,27046-19-1,9846,1887,n.a.
cpd:C07645,Aldophosphamide,C7H15Cl2N2O3P,276.0197,35144-64-0,9847,2560,n.a.
cpd:C07646,Carboxyphosphamide,C7H15Cl2N2O4P,292.0146,22788-18-7,9848,3410,n.a.
cpd:C07647,Phosphoramide mustard,C4H11Cl2N2O2P,219.9935,10159-53-2,9849,8163,n.a.
cpd:C07648,Thioguanine,C5H5N5S,167.0266,154-42-7,9850,9555,C00018807
cpd:C07649,5-FU,C4H3FN2O2,130.0179,51-21-8,9851,46345,n.a.
cpd:C07650,Gemcitabine,C9H11F2N3O4,263.0718,95058-81-4,9852,175901,n.a.
cpd:C07651,WR 1065,C5H14N2S,134.0878,31098-42-7,9853,72583,n.a.
cpd:C07652,Mifepristone,C29H35NO2,429.2668,84371-65-3,9854,50692,n.a.
cpd:C07653,Flutamide,C11H11F3N2O3,276.0722,13311-84-7,9855,5132,n.a.
cpd:C07654,Methacycline,C22H22N2O8,442.1376,914-00-1,9856,6805,n.a.
cpd:C07655,Streptobiosamine,C13H23NO9,337.1373,126-05-6,9857,9283,n.a.
cpd:C07656,Gentamicin C1,C21H43N5O7,477.3162,25876-10-2,9858,27412,n.a.
cpd:C07657,Netilmicin,C21H41N5O7,475.3006,56391-56-1,9859,7528,n.a.
cpd:C07658,Sulfadiazine,C10H10N4O2S,250.0524,68-35-9,9860,9328,n.a.
cpd:C07659,Sulfathalidine,C17H13N3O5S2,403.0297,85-73-4,9861,9336,n.a.
cpd:C07660,Levofloxacin,C18H20FN3O4,361.1438,100986-85-4,9862,63598,n.a.
cpd:C07661,Gatifloxacin,C19H22FN3O4,375.1594,112811-59-3,9863,5280,n.a.
cpd:C07662,Sparfloxacin,C19H22F2N4O3,392.166,110871-86-8,9864,9212,n.a.
cpd:C07663,Moxifloxacin,C21H24FN3O4,401.1751,151096-09-2,9865,63611,n.a.
cpd:C07664,Trovafloxacin,C20H15F3N4O3,416.1096,147059-72-1,9866,9763,n.a.
cpd:C07665,Ethionamide,C8H10N2S,166.0565,536-33-4,9867,4885,n.a.
cpd:C07666,Dapsone,C12H12N2O2S,248.0619,80-08-0,9868,4325,n.a.
cpd:C07667,Gossypol,C30H30O8,518.1941,303-45-7,9869,28584,C00003136
cpd:C07668,Apraclonidine,C9H10Cl2N4,244.0283,66711-21-5,9870,2788,n.a.
cpd:C07669,Glimepiride,C24H34N4O5S,490.225,93479-97-1,9871,5383,n.a.
cpd:C07670,Repaglinide,C27H36N2O4,452.2675,135062-02-1,9872,8805,n.a.
cpd:C07671,Histrelin,C66H86N18O12,1322.6673,76712-82-8,9873,5739,n.a.
cpd:C07672,Biguanide,C2H7N5,101.0701,56-03-1,9874,3095,n.a.
cpd:C07673,Phenformin,C10H15N5,205.1327,114-86-3,9875,8064,n.a.
cpd:C07674,Buformin,C6H15N5,157.1327,692-13-7,9876,3209,n.a.
cpd:C07675,Pioglitazone,C19H20N2O3S,356.1195,111025-46-8,9877,8228,n.a.
cpd:C07677,Acebutolol hydrochloride,C18H28N2O4.,372.1816,34381-68-5,9879,2380,n.a.
cpd:C07693,Fenoldopam,C16H16ClNO3,305.0819,67227-56-9,9895,5002,n.a.
cpd:C07695,Sodium nitroprusside dihydrate,C5FeN6O.,297.949,13755-38-9,9897,9179,n.a.
cpd:C07699,Nisoldipine,C20H24N2O6,388.1634,63675-72-9,9901,7577,n.a.
cpd:C07701,Benazepril hydrochloride,C24H28N2O5.,460.1765,86541-74-4,9903,3012,n.a.
cpd:C07704,Moexipril,C27H34N2O7,498.2366,103775-10-6,9906,6960,n.a.
cpd:C07706,Perindopril,C19H32N2O5,368.2311,82834-16-0,9908,8024,n.a.
cpd:C07707,Perindopril erbumine,C19H32N2O5.,441.3203,107133-36-8,9909,8025,n.a.
cpd:C07708,Miglitol,C8H17NO5,207.1107,72432-03-2,9910,6935,n.a.
cpd:C07709,Candesartan cilexetil,C33H34N6O6,610.254,145040-37-5,9911,3348,n.a.
cpd:C07710,Telmisartan,C33H30N4O2,514.2369,144701-48-4,9912,9434,n.a.
cpd:C07711,Previtamin D(3),C27H44O,384.3392,1173-13-3,9913,8403,n.a.
cpd:C07712,Secalciferol,C27H44O3,416.329,55721-11-4,9914,28818,n.a.
cpd:C07713,Nitrendipine,C18H20N2O6,360.1321,39562-70-4,9915,7582,n.a.
cpd:C07714,Isosorbide mononitrate,C6H9NO6,191.043,16051-77-7,9916,6062,n.a.
cpd:C07715,Fluorene,C13H10,166.0783,86-73-7,9917,28266,n.a.
cpd:C07717,"3,4-Dihydroxyfluorene",C13H10O2,198.0681,42523-20-6,9919,28752,n.a.
cpd:C07718,"2-Hydroxy-4-(1-oxo-1,3-dihydro-2H-inden-2-ylidene)-but-2-enoic acid",C13H10O4,230.0579,n.a,9920,1126,n.a.
cpd:C07719,2-Formyl-1-indanone,C10H8O2,160.0524,56794-24-2,9921,27534,n.a.
cpd:C07720,3-Hydroxy-1-indanone,C9H8O2,148.0524,26976-59-0,9922,28438,n.a.
cpd:C07721,"(+)-(3S,4R)-cis-3,4-Dihydroxy-3,4-dihydrofluorene",C13H12O2,200.0837,n.a,9923,28234,n.a.
cpd:C07722,"3,4-Dihydroxy-3,4-dihydro-9-fluorenone",C13H10O3,214.063,n.a,9924,27473,n.a.
cpd:C07723,4-Hydroxy-9-fluorenone,C13H8O2,196.0524,1986-00-1,9925,27665,n.a.
cpd:C07724,"1,2-Dihydroxyfluorene",C13H10O2,198.0681,42523-11-5,9926,28565,n.a.
cpd:C07725,"2-Hydroxy-4-(2-oxo-1,3-dihydro-2H-inden-1-ylidene)but-2-enoic acid",C13H10O4,230.0579,n.a,9927,1127,n.a.
cpd:C07726,1-Formyl-2-indanone,C10H8O2,160.0524,n.a,9928,28779,n.a.
cpd:C07727,2-Indanone,C9H8O,132.0575,615-13-4,9929,27930,n.a.
cpd:C07728,3-Isochromanone,C9H8O2,148.0524,4385-35-7,9930,28170,n.a.
cpd:C07729,Dibenzofuran,C12H8O,168.0575,132-64-9,9931,28145,n.a.
cpd:C07731,"2-Hydroxy-6-oxo-6-(2-hydroxyphenyl)-hexa-2,4-dienoate",C12H10O5,234.0528,n.a,9933,1135,n.a.
cpd:C07732,Dibenzo-p-dioxin,C12H8O2,184.0524,262-12-4,9934,28891,n.a.
cpd:C07733,"2,2',3-Trihydroxydiphenylether",C12H10O4,218.0579,n.a,9935,27381,n.a.
cpd:C07734,"2-Hydroxy-6-oxo-6-(2-hydroxyphenoxy)-hexa-2,4-dienoate",C12H10O6,250.0477,n.a,9936,19327,n.a.
cpd:C07736,Etidronic acid,C2H8O7P2,205.9745,2809-21-4,9938,4907,n.a.
cpd:C07740,Disopyramide phosphate,C21H29N3O.,437.208,22059-60-5,9942,4658,n.a.
cpd:C07743,Moricizine,C22H25N3O4S,427.1566,31883-05-3,9945,6997,n.a.
cpd:C07750,Tolterodine,C22H31NO,325.2406,124937-51-5,9952,9622,n.a.
cpd:C07751,Dofetilide,C19H27N3O5S2,441.1392,115256-11-6,9953,4681,n.a.
cpd:C07752,Alendronic acid,C4H13NO7P2,249.0167,66376-36-1,9954,2567,n.a.
cpd:C07753,Ibutilide,C20H36N2O3S,384.2447,122647-31-8,9955,5856,n.a.
cpd:C07755,Magnesium chloride,MgCl2,93.9227,7786-30-3,9957,6636,n.a.
cpd:C07756,7-Aminocephalosporanic acid,C10H12N2O5S,272.0467,957-68-6,9958,2255,n.a.
cpd:C07758,Bendroflumethiazide,C15H14F3N3O4S2,421.0378,73-48-3,9960,3013,n.a.
cpd:C07759,Benzthiazide,C15H14ClN3O4S3,430.9835,91-33-8,9961,3047,n.a.
cpd:C07760,Brinzolamide,C12H21N3O5S3,383.0643,138890-62-7,9962,3176,n.a.
cpd:C07761,Cephalothin,C16H16N2O6S2,396.045,153-61-7,9963,124991,n.a.
cpd:C07763,Hydroflumethiazide,C8H8F3N3O4S2,330.9908,135-09-1,9965,5784,n.a.
cpd:C07764,Methazolamide,C5H8N4O3S2,236.0038,554-57-4,9966,6822,n.a.
cpd:C07765,Methyclothiazide,C9H11Cl2N3O4S2,358.9568,135-07-9,9967,6847,n.a.
cpd:C07766,Polythiazide,C11H13ClF3N3O4S3,438.9709,346-18-9,9968,8327,n.a.
cpd:C07767,Trichlormethiazide,C8H8Cl3N3O4S2,378.9022,133-67-5,9969,9683,n.a.
cpd:C07768,Azelastine,C22H24ClN3O,381.1608,58581-89-8,9970,2950,n.a.
cpd:C07770,Sulbactam,C8H11NO5S,233.0358,68373-14-8,9972,9321,n.a.
cpd:C07771,Tazobactam,C10H12N4O5S,300.0528,89786-04-9,9973,9421,n.a.
cpd:C07773,Ambenonium,C28H42Cl2N4O2,536.2685,7648-98-8,9975,2627,n.a.
cpd:C07774,Azatadine,C20H22N2,290.1783,3964-81-6,9976,2946,n.a.
cpd:C07777,Buclizine,C28H33ClN2,432.2332,82-95-1,9979,3205,n.a.
cpd:C07778,Cetirizine,C21H25ClN2O3,388.1554,83881-51-0,9980,3561,n.a.
cpd:C07780,Chlorpheniramine maleate,C16H19ClN2.,390.1346,113-92-8,9982,3645,n.a.
