annotation	cutoff.trusted	cutoff.noise	type	ec
TIGR00573	71.5	67.4	subfamily_domain	2.7.7.7
TIGR00574	217.8	171.15	superfamily	6.5.1.1
TIGR00575	444.45	277.2	equivalog	6.5.1.2
TIGR00576	102.55	66.3	superfamily	3.6.1.23
TIGR00577	203.3	105.1	equivalog	3.2.2.23
TIGR00578	194.25	154.65	superfamily	
TIGR00580	819.85	533	equivalog	3.6.1.-
TIGR00581	141.5	71.45	equivalog	
TIGR00583	434.6	203.25	equivalog	
TIGR00584	402.6	41.55	subfamily	3.2.2.-
TIGR00585	253.25	133.15	superfamily	
TIGR00586	97.9	43.8	subfamily	3.6.1.-
TIGR00587	129.65	112.5	subfamily	
TIGR00588	397.85	128	subfamily	3.2.2.-
TIGR00589	46.4	42.95	superfamily	2.1.1.63
TIGR00590	99.1	73.05	equivalog	
TIGR00591	550.05	251.5	superfamily	4.1.99.3
TIGR00592	239.95	195.6	superfamily	2.7.7.7
TIGR00593	600	438.9	equivalog	2.7.7.7
TIGR00594	434.35	379.7	superfamily	2.7.7.7
TIGR00595	230.35	95.85	equivalog	3.6.1.-
TIGR00596	806.65	346.1	subfamily	
TIGR00597	72.9	45.7	subfamily	
TIGR00598	113.15	66.65	equivalog	
TIGR00599	175.05	89.6	equivalog	
TIGR00600	1204.4	316.45	subfamily	
TIGR00601	207.3	129.1	equivalog	
TIGR00602	482.55	184.5	subfamily	
TIGR00603	328.7	303.8	subfamily	3.6.4.12
TIGR00604	246.95	201.8	subfamily	3.6.4.-
TIGR00605	697.5	374	subfamily	
TIGR00606	453.75	328.35	subfamily	
TIGR00607	224.8	65.05	subfamily	
TIGR00608	133.85	105.1	superfamily	
TIGR00609	696.05	432.1	equivalog	3.1.11.5
TIGR00611	159.45	154.15	subfamily	
TIGR00612	280.25	159.6	equivalog	1.17.7.1
TIGR00613	48.7	40.3	equivalog	
TIGR00614	219.8	182	subfamily	3.6.4.12
TIGR00615	162.55	113.3	equivalog	
TIGR00616	52.65	50.5	subfamily	
TIGR00617	334.2	271.45	subfamily	
TIGR00618	478.5	144.7	subfamily	
TIGR00619	77.65	67.25	subfamily	
TIGR00621	53.95	51.5	subfamily	
TIGR00622	45.1	35.45	subfamily	
TIGR00623	269.45	65.45	subfamily	
TIGR00624	232.5	90.4	subfamily	3.2.2.20
TIGR00625	320.7	228.35	subfamily	
TIGR00627	355.05	97.5	subfamily	
TIGR00628	185.75	109.05	equivalog	3.2.2.27
TIGR00629	124.45	118.7	equivalog	3.-.-.-
TIGR00630	729.8	289.8	equivalog	3.1.25.-
TIGR00631	750.1	402.55	equivalog	3.1.25.-
TIGR00632	97.85	44.85	subfamily	3.1.-.-
TIGR00633	99.05	82.15	subfamily	3.1.11.2
TIGR00634	407.85	207.65	equivalog	
TIGR00635	299.05	191.3	equivalog	3.6.4.12
TIGR00636	108.45	53.9	equivalog_domain	2.5.1.17
TIGR00637	98.5	22.2	subfamily_domain	
TIGR00638	55	28.55	subfamily_domain	
TIGR00639	150.1	127	equivalog	2.1.2.2
TIGR00640	57.45	27	subfamily_domain	
TIGR00641	303.8	136.05	subfamily_domain	5.4.99.-
TIGR00642	617.25	284.3	equivalog	5.4.99.2
TIGR00643	659.4	407.35	equivalog	3.6.4.12
TIGR00644	396.9	230.05	equivalog	3.1.-.-
TIGR00645	144.4	34.85	hypoth_equivalog	
TIGR00646	260.65	260.5	hypoth_equivalog	
TIGR00647	44.1	38.25	equivalog	
TIGR00648	176.75	34.95	equivalog	3.1.-.-
TIGR00649	400	250	subfamily	3.1.-.-
TIGR00651	311.2	205.4	equivalog	2.3.1.8
TIGR00652	114.65	32	equivalog	5.1.1.7
TIGR00653	429.15	324.75	equivalog	6.3.1.2
TIGR00654	76.2	38.35	subfamily	
TIGR00655	285.95	170.6	equivalog	3.5.1.10
TIGR00656	402.25	355.2	equivalog	2.7.2.4
TIGR00657	208.7	91.15	subfamily_domain	2.7.2.4
TIGR00658	280.85	175.35	equivalog	2.1.3.3
TIGR00659	249.7	174.15	hypoth_equivalog	
TIGR00661	195.9	38.7	subfamily_domain	
TIGR00663	137.65	129	equivalog	2.7.7.7
TIGR00664	150.55	49.8	equivalog	2.7.7.7
TIGR00665	385.25	248.1	equivalog	3.6.4.12
TIGR00666	107.8	75.45	equivalog	3.4.16.4
TIGR00667	143.55	66.55	equivalog	2.3.2.6
TIGR00668	222.85	169.65	equivalog	3.6.1.41
TIGR00669	292.8	185.4	equivalog	6.3.1.1
TIGR00670	236.95	186.45	equivalog	2.1.3.2
TIGR00671	58.2	52.45	subfamily	2.7.1.33
TIGR00672	375.35	94.4	equivalog	3.6.1.26
TIGR00673	113.3	81.05	equivalog	4.2.1.104
TIGR00674	206.15	177.55	equivalog	4.3.3.7
TIGR00675	100.65	94.9	superfamily	2.1.1.37
TIGR00676	293.7	289.85	equivalog	1.5.1.20
TIGR00677	310.05	301.8	equivalog	1.5.1.20
TIGR00678	180.6	161	equivalog_domain	2.7.7.7
TIGR00679	240	230	equivalog	2.7.1.-
TIGR00680	387.7	356.05	equivalog	3.6.3.12
TIGR00681	152.55	83.65	equivalog	3.6.3.12
TIGR00682	91.95	72.9	equivalog	2.7.1.130
TIGR00683	382	154.1	equivalog	4.1.3.3
TIGR00684	59.35	48.55	equivalog	
TIGR00685	68.05	33.4	equivalog	3.1.3.12
TIGR00686	80.2	43.55	hypoth_equivalog	
TIGR00687	144.5	73.45	equivalog	2.7.1.35
TIGR00688	130.15	34.8	hypoth_equivalog	
TIGR00689	88.3	53	subfamily	5.3.1.-
TIGR00690	23.6	23.1	equivalog	2.7.7.6
TIGR00691	499.2	337.65	subfamily	
TIGR00692	458.35	348.75	equivalog	1.1.1.103
TIGR00693	145.1	60.35	equivalog_domain	2.5.1.3
TIGR00694	256.4	110.9	equivalog_domain	2.7.1.50
TIGR00695	199.55	122.6	equivalog	4.2.1.8
TIGR00696	69	37.8	superfamily	2.4.1.-
TIGR00697	50.95	42.5	subfamily	
TIGR00698	232.6	74.35	subfamily	
TIGR00699	567.15	251.2	equivalog	2.6.1.19
TIGR00700	506.65	317.8	equivalog	2.6.1.19
TIGR00701	138.05	59.9	hypoth_equivalog	
TIGR00702	75.65	41.35	domain	
TIGR00703	155.4	153.5	hypoth_equivalog	
TIGR00704	210.1	100.3	hypoth_equivalog	
TIGR00705	311.45	229	equivalog	3.4.-.-
TIGR00706	155.45	97.75	equivalog_domain	3.4.-.-
TIGR00707	410.05	397.55	subfamily	
TIGR00708	167.75	79.5	equivalog	2.5.1.17
TIGR00709	401.6	334.4	subfamily	2.6.1.-
TIGR00710	200.9	188.55	subfamily	
TIGR00711	230.2	175.95	subfamily	
TIGR00712	632.55	358.3	equivalog	
TIGR00713	527.3	281.9	equivalog	5.4.3.8
TIGR00714	46.75	44.7	equivalog	
TIGR00715	129.85	82	equivalog	1.3.1.54
TIGR00716	161.2	80.2	equivalog	3.1.26.4
TIGR00717	577	255.6	equivalog	
TIGR00718	243.2	201.5	equivalog	4.3.1.17
TIGR00719	161.2	45.8	equivalog	4.3.1.17
TIGR00720	345.1	216.25	equivalog	4.3.1.17
TIGR00721	60.25	45.4	subfamily	
TIGR00722	100.65	84.9	subfamily_domain	
TIGR00723	145.15	87.8	subfamily_domain	
TIGR00724	230.2	153.15	domain	
TIGR00725	106.9	37.5	hypoth_equivalog	
TIGR00726	141.15	94.35	hypoth_equivalog	
TIGR00727	438.7	299.45	equivalog	
TIGR00728	128.35	121.65	superfamily	
TIGR00729	123.3	97.8	equivalog	3.1.26.4
TIGR00730	96.35	63.8	hypoth_equivalog	
TIGR00731	73.1	70.35	equivalog	
TIGR00732	191.15	113.15	equivalog	
TIGR00733	182.5	77.15	equivalog	
TIGR00734	179.85	88.45	hypoth_equivalog	
TIGR00735	294.55	137	equivalog_domain	
TIGR00736	218.7	57.65	hypoth_equivalog	
TIGR00737	293.3	184.95	subfamily	
TIGR00738	73.3	49.95	superfamily	
TIGR00739	44.2	31.35	equivalog	
TIGR00740	193.3	112	equivalog	2.1.1.-
TIGR00741	40.9	29.5	equivalog_domain	
TIGR00742	397.2	118.35	subfamily	1.-.-.-
TIGR00743	71.45	45.75	superfamily	
TIGR00744	260.35	178.9	subfamily	
TIGR00745	141.35	91.4	subfamily	1.1.1.-
TIGR00746	358.25	41.85	equivalog	2.7.2.2
TIGR00747	292.1	135.65	subfamily	2.3.1.180
TIGR00748	353.35	353.15	equivalog	2.3.3.10
TIGR00749	225.45	123.2	equivalog	2.7.1.2
TIGR00750	240.75	157.75	equivalog	2.7.-.-
TIGR00751	102.15	88.15	equivalog	2.5.1.74
TIGR00752	88.45	74.75	superfamily	
TIGR00753	217.5	107.9	equivalog	3.6.1.27
TIGR00754	125.55	56.8	equivalog	
TIGR00755	171	168	equivalog	2.1.1.182
TIGR00756	15.5	13.4	repeat	
TIGR00757	325.95	53.65	subfamily_domain	3.1.4.-
TIGR00758	125.3	27.1	subfamily	3.2.2.-
TIGR00759	859.9	436.6	equivalog	1.2.4.1
TIGR00760	389.1	46.75	equivalog	5.1.3.4
TIGR00761	151.3	113.2	equivalog_domain	2.7.2.8
TIGR00762	99.7	84.1	domain	
TIGR00763	608.05	336.55	equivalog	3.4.21.53
TIGR00764	516.6	121	equivalog	
TIGR00765	73.15	43.25	subfamily_domain	
TIGR00766	213.65	63	equivalog	
TIGR00767	509.45	313.2	equivalog	3.6.4.-
TIGR00768	143.4	100.8	subfamily	6.3.2.-
TIGR00769	387.2	359.1	superfamily	
TIGR00770	331.35	248.7	subfamily	
TIGR00771	187	148.5	subfamily	
TIGR00773	254	220.55	equivalog	
TIGR00774	826.1	713.4	equivalog	
TIGR00775	577.1	409.25	subfamily	
TIGR00776	319.6	294.1	superfamily	
TIGR00777	191.95	94.8	subfamily	1.11.1.15
TIGR00778	27.8	13.3	domain	
TIGR00779	181.65	124.25	subfamily	
TIGR00780	583.15	168.15	equivalog	1.9.3.1
TIGR00781	200.65	62.85	equivalog	1.9.3.1
TIGR00782	179.95	54.05	equivalog	1.9.3.1
TIGR00783	549.05	417.35	subfamily	
TIGR00784	259.7	232.9	subfamily	
TIGR00785	198.6	115.75	subfamily	
TIGR00786	268.45	131.85	subfamily	
TIGR00787	175.05	154.05	subfamily	
TIGR00788	216.4	204.55	subfamily	
TIGR00789	117.35	79	hypoth_equivalog_domain	
TIGR00790	232.3	126.35	subfamily	
TIGR00791	292.75	250.15	subfamily	
TIGR00792	231.35	219.9	subfamily_domain	
TIGR00793	453.8	127.55	equivalog	
TIGR00794	539.6	444.9	equivalog	
TIGR00795	341.15	320.3	subfamily	
TIGR00796	243.4	218.95	equivalog	
TIGR00797	147.4	123.2	subfamily	
TIGR00798	322.8	225.45	subfamily	
TIGR00799	181.3	102	subfamily	
TIGR00800	353.1	113.2	subfamily	
TIGR00801	291.8	202.1	superfamily	
TIGR00802	333.05	96.3	subfamily	
TIGR00803	55.85	53.9	subfamily	
TIGR00804	442	200.8	subfamily	
TIGR00805	280	259.3	subfamily	
TIGR00806	227.4	217.4	equivalog	
TIGR00807	113.45	37.35	equivalog	
TIGR00808	236.3	85.55	equivalog	
TIGR00809	102.8	51.7	equivalog	
TIGR00810	30.85	27.8	equivalog	
TIGR00811	1047.6	581.85	subfamily	
TIGR00813	184	149.8	superfamily	
TIGR00814	525.8	312.8	subfamily	
TIGR00815	380.45	289.5	subfamily	
TIGR00816	237.25	121.5	subfamily	
TIGR00817	317.9	210.6	subfamily	
TIGR00819	753.55	241.15	subfamily	
TIGR00820	231.15	168.4	subfamily	
TIGR00821	166.3	83.05	subfamily	2.7.1.69
TIGR00822	339.85	264.6	subfamily	
TIGR00823	136.95	117.85	subfamily	2.7.1.69
TIGR00824	98.35	66.75	subfamily_domain	2.7.1.69
TIGR00825	458.7	324.35	subfamily	
TIGR00826	45.75	32.2	domain	2.7.1.69
TIGR00827	542.2	439.65	subfamily	
TIGR00828	292.75	241	subfamily	
TIGR00829	76.85	64.15	subfamily_domain	2.7.1.69
TIGR00830	97.5	78.75	subfamily_domain	
TIGR00831	279.6	218.75	equivalog	
TIGR00832	282.8	173.7	equivalog	
TIGR00833	874.7	244.55	subfamily	
TIGR00834	599.45	445.45	subfamily	
TIGR00835	272.65	259.2	subfamily	
TIGR00836	343.3	250.2	subfamily	
TIGR00837	350	272.15	subfamily	
TIGR00838	279.5	135.55	equivalog	4.3.2.1
TIGR00839	681.2	524.8	equivalog	4.3.1.1
TIGR00840	251.25	245.6	equivalog	
TIGR00841	326.3	190.3	subfamily	
TIGR00842	407.55	340.3	subfamily	
TIGR00843	203.4	183.25	subfamily	
TIGR00844	1236.05	574.9	equivalog	
TIGR00845	679.85	553.05	equivalog	
TIGR00846	317.45	188.25	superfamily	
TIGR00847	28.35	20.1	equivalog	
TIGR00848	103.5	95.8	subfamily_domain	2.7.1.69
TIGR00849	189.55	105	subfamily	2.7.1.69
TIGR00851	468.4	398.55	subfamily	2.7.1.69
TIGR00852	291.1	276	subfamily_domain	
TIGR00853	110	90.3	subfamily_domain	
TIGR00854	163.6	140.25	subfamily	2.7.1.69
TIGR00855	84.4	55	equivalog	
TIGR00856	292.95	129.9	equivalog	3.5.2.3
TIGR00857	279.05	197.8	subfamily_domain	3.5.2.3
TIGR00858	426.45	324.95	equivalog	2.3.1.47
TIGR00859	428	413.4	subfamily	
TIGR00860	280.2	233.65	subfamily	
TIGR00861	171.25	123	subfamily	
TIGR00862	358.95	237.8	subfamily	
TIGR00863	288	260.4	subfamily	
TIGR00864	1861.4	1077.1	subfamily_domain	
TIGR00865	283.35	223.2	subfamily	
TIGR00867	598.45	425.85	subfamily	
TIGR00868	900.85	658.5	subfamily	
TIGR00869	166.65	126.35	subfamily	
TIGR00870	498.75	352.75	subfamily	
TIGR00871	400.6	195.7	equivalog	1.1.1.49
TIGR00872	297.2	267.5	equivalog	1.1.1.44
TIGR00873	426.7	211.2	equivalog	1.1.1.44
TIGR00874	396.2	130.45	equivalog	2.2.1.2
TIGR00875	245.95	105.4	equivalog	4.1.2.-
TIGR00876	233.75	147.15	equivalog	2.2.1.2
TIGR00877	288	199.75	equivalog_domain	6.3.4.13
TIGR00878	236.35	139.05	equivalog_domain	6.3.3.1
TIGR00879	237.8	205.35	subfamily	
TIGR00880	131	91.2	superfamily	
TIGR00881	407.75	350.65	subfamily	
TIGR00882	220	48.95	subfamily	
TIGR00883	443.45	405.05	subfamily	
TIGR00884	338.75	126.15	equivalog_domain	6.3.5.2
TIGR00885	280.4	264.85	equivalog	
TIGR00886	311.7	263.7	subfamily	
TIGR00887	610.3	510.9	equivalog	
TIGR00888	172.15	113.35	equivalog_domain	6.3.5.2
TIGR00889	446.1	180.45	subfamily	
TIGR00890	374.85	296.2	subfamily	
TIGR00891	552.9	226.85	subfamily	
TIGR00892	586.1	433.6	subfamily	
TIGR00893	395	316.45	subfamily	
TIGR00894	626.45	437.95	subfamily	
TIGR00895	418.55	286.7	subfamily	
TIGR00896	406	303.5	subfamily	
TIGR00897	590.3	331.8	subfamily	
TIGR00898	550.75	497.15	subfamily	
TIGR00899	522.3	321.25	subfamily	
TIGR00900	319.6	294.05	subfamily	
TIGR00901	370.8	328.1	subfamily	
TIGR00902	698.9	430.2	subfamily	
TIGR00903	391.85	391.55	subfamily	
TIGR00904	365.75	146.25	subfamily	
TIGR00905	409.05	382.55	subfamily	
TIGR00906	681.7	600	subfamily	
TIGR00907	598.3	401.45	subfamily	
TIGR00908	381.75	318.65	equivalog	
TIGR00909	556.8	422.55	subfamily	
TIGR00910	673.5	415.65	equivalog	
TIGR00911	701.8	657.15	subfamily	
TIGR00912	139.55	102.75	subfamily	
TIGR00913	578.7	536.6	subfamily	
TIGR00914	701.45	424.4	subfamily	
TIGR00915	940.35	456.65	subfamily	
TIGR00916	148.6	127.75	subfamily	
TIGR00917	1016.5	1004.7	subfamily	
TIGR00918	1120.4	746.45	subfamily	
TIGR00920	778.35	751.7	subfamily	
TIGR00921	351.9	206.35	subfamily	
TIGR00922	135.7	125.85	equivalog	
TIGR00924	130.2	122.2	subfamily	
TIGR00926	821.6	775.9	subfamily	
TIGR00927	710.1	438.7	subfamily	
TIGR00928	326.2	307.75	equivalog	4.3.2.2
TIGR00929	643.1	293.55	subfamily	
TIGR00930	953.4	817.95	subfamily	
TIGR00931	370	250	equivalog	
TIGR00932	238.3	212.55	subfamily	
TIGR00933	331.15	284.05	subfamily	
TIGR00934	441.9	314.6	subfamily	
TIGR00935	415	405	subfamily	
TIGR00936	497.6	121.6	equivalog	3.3.1.1
TIGR00937	171.7	119.5	subfamily	
TIGR00938	255.9	133.6	equivalog	2.7.1.39
TIGR00939	297.5	273.95	subfamily	
TIGR00940	920.45	834.4	subfamily	
TIGR00941	161.2	134.7	subfamily	
TIGR00942	212.25	159.2	subfamily	
TIGR00943	139.75	113.1	subfamily	
TIGR00944	692	610	subfamily	
TIGR00945	132.7	92.55	equivalog	
TIGR00946	246.05	141.85	subfamily	
TIGR00947	366.4	209.65	equivalog	
TIGR00948	213.65	168.7	subfamily	
TIGR00949	183.95	142.75	subfamily	
TIGR00950	230.2	180.3	subfamily	
TIGR00951	192.35	122	subfamily	
TIGR00952	63.65	37.3	equivalog	
TIGR00954	918.9	888.7	subfamily	
TIGR00955	736.35	664.3	subfamily	
TIGR00956	1959	1905.05	subfamily	
TIGR00957	1470	1470	equivalog	
TIGR00958	874.6	826.25	subfamily	
TIGR00959	473.2	453.65	equivalog	
TIGR00962	484.45	209	equivalog	3.6.3.14
TIGR00963	800	797	equivalog	
TIGR00964	27.55	25.65	equivalog	
TIGR00965	375.4	53.6	equivalog	2.3.1.117
TIGR00966	164.9	81.1	equivalog_domain	
TIGR00967	253.6	233.3	equivalog	
TIGR00968	342.75	328.1	subfamily	3.6.3.25
TIGR00969	240	204.85	subfamily	
TIGR00970	697.4	244.35	equivalog	2.3.3.13
TIGR00971	155.5	135.25	subfamily	
TIGR00972	343.2	302	equivalog	3.6.3.27
TIGR00973	598.7	597.2	equivalog	2.3.3.13
TIGR00974	193.45	161.9	equivalog	
TIGR00975	205	171.9	equivalog	
TIGR00976	66.3	62.65	subfamily	
TIGR00977	450	325	equivalog	2.3.1.182
TIGR00978	301.2	201.3	equivalog	1.2.1.11
TIGR00979	664.75	524.85	equivalog	4.2.1.2
TIGR00980	251.05	239.15	subfamily	
TIGR00981	112.95	96.1	equivalog	
TIGR00982	140.2	104.3	equivalog	
TIGR00983	181.7	94.95	subfamily	
TIGR00984	552.35	466.05	subfamily	
TIGR00985	163.55	155.05	subfamily	
TIGR00986	193.2	134.95	subfamily	
TIGR00987	120.25	89.75	equivalog	
TIGR00988	119.95	89.35	equivalog	
TIGR00989	271.85	160.95	subfamily	
TIGR00990	757.25	557.7	subfamily	
TIGR00991	421.55	412.4	subfamily	
TIGR00992	1163.25	507.3	subfamily	
TIGR00993	660.7	204.75	subfamily_domain	
TIGR00994	341.15	290.9	subfamily	
TIGR00995	413.15	284.4	subfamily	
TIGR00996	140.5	82	paralog	
TIGR00997	165.2	72.6	equivalog	
TIGR00998	390.8	267.3	subfamily	
TIGR00999	319.3	231.25	subfamily	
TIGR01000	258.85	225.5	subfamily	
TIGR01001	315.4	23.4	equivalog	2.3.1.46
TIGR01002	245.6	141.55	subfamily	
TIGR01003	47.9	31.4	subfamily	
TIGR01004	130.1	129.4	subfamily	
TIGR01005	411.7	322.75	subfamily	
TIGR01006	296	240.5	subfamily	
TIGR01007	108.05	85.75	subfamily_domain	
TIGR01008	150.25	120	equivalog	
TIGR01009	114.5	87.4	equivalog	
TIGR01010	437.5	147.15	subfamily	
TIGR01011	76.3	68.5	equivalog	
TIGR01012	211.5	92.6	equivalog	
TIGR01013	306.15	247.2	subfamily	
TIGR01015	510.75	61.6	equivalog	1.13.11.5
TIGR01016	375.55	167.75	subfamily	6.2.1.-
TIGR01017	177.2	66.8	equivalog	
TIGR01018	82.25	78.1	equivalog	
TIGR01019	353.2	165.45	subfamily	6.2.1.-
TIGR01020	181.65	122.55	equivalog	
TIGR01021	164.05	119.35	equivalog	
TIGR01022	22.7	21.85	equivalog	
TIGR01023	23.95	22.7	equivalog	
TIGR01024	90.7	38.2	equivalog	
TIGR01025	139	72.65	equivalog	
TIGR01026	379.5	247.55	subfamily	3.6.3.14
TIGR01027	186	170.15	equivalog_domain	2.7.2.11
TIGR01028	200	95	equivalog	
TIGR01029	135.85	96.25	equivalog	
TIGR01030	37.65	34.55	equivalog	
TIGR01031	22.6	22.2	equivalog	
TIGR01032	65.65	49.95	equivalog	
TIGR01033	208.75	139.65	subfamily	
TIGR01034	309.4	122.2	equivalog	2.5.1.6
TIGR01035	209.55	94.15	equivalog	1.2.1.70
TIGR01036	200	200	equivalog	1.3.98.1
TIGR01037	150.15	141.6	subfamily_domain	1.3.-.-
TIGR01038	79.85	77.95	equivalog	
TIGR01039	462.85	391.55	equivalog	3.6.3.14
TIGR01040	804.65	710.35	equivalog	3.6.3.14
TIGR01041	844.65	770.3	equivalog	3.6.3.14
TIGR01042	779.9	776.6	equivalog	3.6.3.14
TIGR01043	972.15	971.95	equivalog	3.6.3.14
TIGR01044	73.65	66.75	equivalog	
TIGR01045	30	29.25	domain	
TIGR01046	96.25	81.1	equivalog	
TIGR01047	409.05	205.95	equivalog	
TIGR01048	297.9	227.6	equivalog	4.1.1.20
TIGR01049	72.75	70	equivalog	
TIGR01050	89.35	84.95	equivalog	
TIGR01051	456.4	379.15	equivalog	5.99.1.2
TIGR01052	380.7	102.75	equivalog	5.99.1.3
TIGR01053	15.5	12.65	subfamily_domain	
TIGR01054	471.7	469.7	equivalog	3.6.4.12 5.99.1.3
TIGR01055	723.35	680.2	equivalog	5.99.1.-
TIGR01056	515.75	356.4	subfamily	5.99.1.2
TIGR01057	458	314.2	equivalog	5.99.1.2
TIGR01058	899.95	885.65	equivalog	5.99.1.-
TIGR01059	882.4	783.95	equivalog	5.99.1.3
TIGR01060	443.85	215	equivalog	4.2.1.11
TIGR01061	813.25	777.45	equivalog	5.99.1.-
TIGR01062	628.9	622.65	equivalog	5.99.1.-
TIGR01063	877	874	equivalog	5.99.1.3
TIGR01064	306.4	233	equivalog	2.7.1.40
TIGR01065	172.2	28.05	subfamily	
TIGR01066	93.05	72.45	equivalog	
TIGR01067	111.1	108.3	equivalog	
TIGR01068	96.8	75.7	equivalog	
TIGR01069	557.35	468.6	subfamily	
TIGR01070	641.7	502.95	equivalog	
TIGR01071	77.95	48.35	equivalog	
TIGR01072	392.7	234.8	equivalog	2.5.1.7
TIGR01073	911.2	822.15	equivalog	3.6.4.12
TIGR01074	951.45	770.95	equivalog	3.6.4.12
TIGR01075	1144.45	761.1	equivalog	3.6.4.12
TIGR01076	39.35	21.95	subfamily	3.4.22.-
TIGR01077	98.9	62	equivalog	
TIGR01078	489.1	433.2	equivalog	3.5.3.6
TIGR01079	53.7	41.1	equivalog	
TIGR01080	47.65	37.55	equivalog	
TIGR01081	388.7	206.05	equivalog	
TIGR01082	335.1	292.8	equivalog	6.3.2.8
TIGR01083	211.7	144.65	equivalog	4.2.99.18
TIGR01084	286.5	179.95	equivalog	3.2.2.-
TIGR01085	257.3	204.35	subfamily	
TIGR01086	400.25	269.5	equivalog	4.1.2.17
TIGR01087	211.95	194.4	equivalog	6.3.2.9
TIGR01088	169.85	145.55	equivalog	4.2.1.10
TIGR01089	850	399.9	equivalog	5.3.1.25
TIGR01090	185.85	68.8	equivalog	2.4.2.7
TIGR01091	208.35	112.3	equivalog	2.4.2.9
TIGR01092	796.75	525.45	equivalog	
TIGR01093	139.3	40.85	equivalog_domain	4.2.1.10
TIGR01096	256.35	201	subfamily	
TIGR01097	216.7	189.95	equivalog	
TIGR01098	112.05	84.3	subfamily	
TIGR01099	326.8	312.55	equivalog	2.7.7.9
TIGR01100	61.45	44.15	equivalog	3.6.3.14
TIGR01101	90.25	57.55	equivalog	3.6.3.14
TIGR01102	208.6	195.8	equivalog	
TIGR01103	217.45	192.4	equivalog	
TIGR01104	651.9	283.6	equivalog	3.6.1.1
TIGR01105	659.2	416.75	equivalog	
TIGR01106	946.1	648.8	subfamily	3.6.3.-
TIGR01107	189.35	187.1	equivalog	3.6.3.9
TIGR01108	756.5	720.35	equivalog	4.1.1.3
TIGR01109	190.6	184.35	subfamily	
TIGR01110	789.15	313.85	equivalog	
TIGR01111	249.15	173.85	equivalog	2.1.1.86
TIGR01112	126.85	101.85	equivalog	2.1.1.86
TIGR01113	238.35	81.9	equivalog	2.1.1.86
TIGR01114	271.4	115	equivalog	2.1.1.86
TIGR01115	364.25	248.65	equivalog	
TIGR01116	703.4	697.45	equivalog	3.6.3.8
TIGR01117	998.8	908.8	subfamily	4.1.1.41
TIGR01118	181.1	172.55	equivalog	5.3.1.26
TIGR01119	312.55	291.6	equivalog	5.3.1.26
TIGR01120	138.65	135.75	equivalog	5.3.1.6
TIGR01121	277.45	155.8	equivalog	2.6.1.21
TIGR01122	245.55	196.55	equivalog	2.6.1.42
TIGR01123	250.05	198.2	equivalog	2.6.1.42
TIGR01124	411.3	325.5	equivalog	4.3.1.19
TIGR01125	356.95	332.15	equivalog	2.1.1.- 2.8.1.-
TIGR01126	107.2	81.45	equivalog_domain	
TIGR01127	378.75	336.9	equivalog	4.3.1.19
TIGR01128	94.95	65.15	equivalog	2.7.7.7
TIGR01129	244.4	104.8	equivalog_domain	
TIGR01130	344.25	163.25	subfamily	
TIGR01131	102.6	90.9	equivalog	3.6.3.14
TIGR01132	778.05	155.35	equivalog	5.4.2.2
TIGR01133	250.25	219.85	equivalog	2.4.1.227
TIGR01134	350	166.25	equivalog	2.4.2.14
TIGR01135	418.05	302.9	equivalog	2.6.1.16
TIGR01136	344.15	335.75	subfamily	2.5.1.47
TIGR01137	510.25	356.9	equivalog	4.2.1.22
TIGR01138	394.2	330.85	equivalog	2.5.1.47
TIGR01139	350.95	330	equivalog	2.5.1.47
TIGR01140	290.55	276.85	equivalog	4.1.1.81
TIGR01141	276.55	200.85	equivalog	2.6.1.9
TIGR01142	502.15	268.35	equivalog	2.1.2.-
TIGR01143	288.6	233.9	subfamily	6.3.2.10
TIGR01144	65.5	54.85	equivalog	3.6.3.14
TIGR01145	57.5	50.25	equivalog	3.6.3.14
TIGR01146	194.45	58.75	equivalog	3.6.3.14
TIGR01147	56.95	50.45	equivalog	3.6.3.14
TIGR01148	103.65	74.95	equivalog	2.1.1.86
TIGR01149	50.65	40.35	equivalog	2.1.1.86
TIGR01150	240.4	118.3	equivalog	
TIGR01151	596.05	223.2	equivalog	1.10.3.9
TIGR01152	600.6	388.5	equivalog	
TIGR01153	603.05	477.2	equivalog	
TIGR01156	127.05	126.95	equivalog	1.10.9.1
TIGR01157	266.2	206.65	equivalog	
TIGR01158	111.65	64.25	hypoth_equivalog	
TIGR01159	118.15	46.2	subfamily	
TIGR01160	143.9	47.9	equivalog	
TIGR01161	318.4	197.1	equivalog_domain	4.1.1.21
TIGR01162	149.6	62.25	equivalog_domain	4.1.1.21
TIGR01163	212.6	96.9	equivalog	5.1.3.1
TIGR01164	76.85	56.2	equivalog	
TIGR01165	104.85	32.25	subfamily	
TIGR01166	211.8	195.65	subfamily	
TIGR01167	15.9	15.7	domain	
TIGR01168	20.2	19.35	domain	
TIGR01169	216.3	124.75	equivalog	
TIGR01170	129.05	111.1	equivalog	
TIGR01171	174.5	164.85	equivalog	
TIGR01172	210.65	134.4	equivalog	2.3.1.30
TIGR01173	366.85	204.85	equivalog	2.7.7.23 2.3.1.157
TIGR01174	175.85	74	equivalog	
TIGR01175	133	75.55	subfamily	
TIGR01176	932.7	847.05	equivalog	1.3.5.4
TIGR01177	316.55	137.45	hypoth_equivalog	
TIGR01178	472.5	185	equivalog	3.5.4.2
